guid/image	labels	scores	boxes
eb46684b-f8c9-455e-80ff-1e168d7d2f7c/0050	[1, 1, 1, 2, 0]	[0.9757897853851318, 0.025770733132958412, 0.0004553018370643258, 9.049414074979722e-05, 8.975710807135329e-05]	[[0.34443342685699463, 0.8879457116127014, 0.39793914556503296, 0.9896220564842224], [0.4313295781612396, 0.0, 0.5026074051856995, 0.011315369978547096], [0.42269033193588257, 0.0, 0.5241405963897705, 0.017214369028806686], [0.008235365152359009, 0.03016313910484314, 0.2820819318294525, 0.3168323338031769], [0.34443342685699463, 0.8879457116127014, 0.39793914556503296, 0.9896220564842224]]
af3ae5e6-27ef-4699-beb3-f2c72831a594/0175	[1, 2, 0, 2, 1]	[0.9980791807174683, 0.0009968384401872754, 0.00043098762398585677, 0.00029246494523249567, 0.0001564400881761685]	[[0.37691304087638855, 0.3394087851047516, 0.5733272433280945, 0.4915750324726105], [0.0, 0.5259605050086975, 0.2975308895111084, 1.0], [0.37691304087638855, 0.3394087851047516, 0.5733272433280945, 0.4915750324726105], [0.019724667072296143, 0.5070388913154602, 0.40575188398361206, 0.9724381566047668], [0.15621095895767212, 0.20790627598762512, 0.8704090714454651, 0.8796746730804443]]
2a279bda-651c-4740-a616-6862aa904c24/0071	[1, 2, 1, 1, 0]	[0.8200200796127319, 0.0019915199372917414, 0.0006897926214151084, 0.0005780997453257442, 0.00021343609842006117]	[[0.3919510543346405, 0.4193372428417206, 0.43028178811073303, 0.44812414050102234], [0.04242977499961853, 0.008828043937683105, 0.6235475540161133, 0.2626079320907593], [0.34941381216049194, 0.35022681951522827, 0.4504932165145874, 0.5593011379241943], [0.289384126663208, 0.3914463222026825, 0.522064745426178, 0.4902396500110626], [0.0, 0.7311756014823914, 0.3209357261657715, 0.9701752066612244]]
630f5200-f86e-490f-8764-1ecf1d398f5b/0144	[2, 1, 2, 2, 2]	[0.9804986119270325, 0.02914721891283989, 0.0077877105213701725, 0.0033364517148584127, 0.0017846588743850589]	[[0.3657764792442322, 0.4741373062133789, 0.5340941548347473, 0.5297437906265259], [0.4032457172870636, 0.002249663695693016, 0.4775022566318512, 0.03303902596235275], [0.3085295557975769, 0.45956939458847046, 0.5307878851890564, 0.5329025387763977], [0.17762276530265808, 0.06574462354183197, 0.4253276288509369, 0.23308207094669342], [0.14136648178100586, 0.014672547578811646, 0.4037390947341919, 0.16125260293483734]]
e01aefe6-f367-4c00-b006-f9327a1ffc5f/0012	[1, 0, 1, 0, 0]	[0.2746822237968445, 0.13502737879753113, 0.01515124924480915, 0.004646666813641787, 0.003573034191504121]	[[0.38617974519729614, 0.35801243782043457, 0.45836126804351807, 0.41114169359207153], [0.36670997738838196, 0.3576306998729706, 0.458719402551651, 0.41252079606056213], [0.3414759039878845, 0.00019151903688907623, 0.452267587184906, 0.035058751702308655], [0.0, 0.7634041905403137, 0.01609048806130886, 0.8705225586891174], [0.27529704570770264, 0.3816945552825928, 0.35039591789245605, 0.42817747592926025]]
06084349-6a34-4e47-8fab-e7a7ca3cbdd8/0065	[1, 0, 0, 2, 1]	[0.9992318153381348, 0.0015410755295306444, 0.0007938108174130321, 0.0007223918219096959, 0.00042704908992163837]	[[0.4013390839099884, 0.48798269033432007, 0.4303179085254669, 0.5172484517097473], [0.4013390839099884, 0.48798269033432007, 0.4303179085254669, 0.5172484517097473], [0.1257162094116211, 0.9302966594696045, 0.45208173990249634, 0.9999701976776123], [0.4013390839099884, 0.48798269033432007, 0.4303179085254669, 0.5172484517097473], [0.1583670973777771, 0.1781633496284485, 0.8564364314079285, 0.8699628710746765]]
dd49d264-aecf-4d23-92c1-adf35a8ab29b/0029	[0, 1, 0, 2, 0]	[0.9998509883880615, 0.0058419546112418175, 0.0005662827752530575, 0.0005272087291814387, 0.00035010999999940395]	[[0.0, 0.3326764404773712, 0.7705426216125488, 0.8338005542755127], [0.0, 0.3326764404773712, 0.7705426216125488, 0.8338005542755127], [0.07230636477470398, 0.30171677470207214, 0.5269376039505005, 0.9686766862869263], [0.0, 0.3285723030567169, 0.7576009035110474, 0.8338427543640137], [0.26082897186279297, 0.2623501420021057, 0.6711114048957825, 0.8545199036598206]]
65dea526-0728-4260-8075-fcf76c96fca9/0017	[1, 1, 0, 1, 1]	[0.8693723082542419, 0.00035110607859678566, 0.0002850998716894537, 0.00016539030184503645, 0.0001219797195517458]	[[0.391152560710907, 0.5625697374343872, 0.4179396629333496, 0.6029294729232788], [0.14826864004135132, 0.20592492818832397, 0.8665675520896912, 0.8673973679542542], [0.014467896893620491, 0.3524092137813568, 0.05953335762023926, 0.4492989480495453], [0.04220372438430786, 0.003257356584072113, 0.8871881365776062, 0.2507531940937042], [0.3646690547466278, 0.004305770620703697, 0.9729561805725098, 0.04202689975500107]]
686f98de-0c48-4746-80ba-3242c0f254e1/0056	[1, 1, 1, 1, 1]	[0.9999871253967285, 0.001109343022108078, 0.000804093258921057, 0.0007179076201282442, 0.0003461956512182951]	[[0.3124534487724304, 0.44576069712638855, 0.45472240447998047, 0.6940743923187256], [0.31392526626586914, 0.0, 0.4798849821090698, 0.018908336758613586], [0.27822211384773254, 0.9630317091941833, 0.4223196804523468, 0.9983338713645935], [0.30556514859199524, 0.0, 0.7157641649246216, 0.02920563332736492], [0.34797680377960205, 0.0, 0.5279155373573303, 0.021309278905391693]]
f9609d68-b897-4889-b67b-74bcf31b14f3/0027	[1, 1, 2, 1, 0]	[0.9996871948242188, 0.0013661691918969154, 0.00036245613591745496, 0.00018391113553661853, 0.00015662320947740227]	[[0.4025784134864807, 0.6736244559288025, 0.4915882349014282, 0.7326114773750305], [0.061719149351119995, 0.05935755372047424, 0.9011355638504028, 0.8575198650360107], [0.4025784134864807, 0.6736244559288025, 0.4915882349014282, 0.7326114773750305], [0.020176857709884644, 0.01585116982460022, 0.8623548746109009, 0.5485838651657104], [0.4025784134864807, 0.6736244559288025, 0.4915882349014282, 0.7326114773750305]]
