guid/image	labels	scores	boxes
eb46684b-f8c9-455e-80ff-1e168d7d2f7c/0050	[1, 1, 1, 1, 1]	[0.9998551607131958, 0.15194565057754517, 0.06860605627298355, 0.03700854256749153, 0.02569299004971981]	[[0.34585633873939514, 0.8858149647712708, 0.4008844196796417, 0.9892998337745667], [0.0, 0.0, 0.39766404032707214, 0.8635198473930359], [0.0, 0.0, 0.38036274909973145, 0.41415929794311523], [0.0, 0.3885583281517029, 0.4133973717689514, 1.0], [0.0041417451575398445, 0.0492175817489624, 0.5105990767478943, 0.6058710813522339]]
af3ae5e6-27ef-4699-beb3-f2c72831a594/0175	[1, 1, 1, 1, 1]	[0.9999889135360718, 0.11822566390037537, 0.06313257664442062, 0.04446011781692505, 0.03398076072335243]	[[0.37848132848739624, 0.3374674916267395, 0.5748265385627747, 0.48925870656967163], [0.0034440685994923115, 0.0, 0.4103189706802368, 0.8728770613670349], [0.0, 0.13805022835731506, 0.43058937788009644, 1.0], [0.025492368265986443, 0.07198616862297058, 0.5387571454048157, 0.645063042640686], [0.03349076583981514, 0.0, 0.5868846774101257, 0.447936475276947]]
2a279bda-651c-4740-a616-6862aa904c24/0071	[1, 1, 1, 1, 1]	[0.9999953508377075, 0.06019314378499985, 0.05437350645661354, 0.01568305492401123, 0.014941046945750713]	[[0.3965259790420532, 0.4214734435081482, 0.42767781019210815, 0.44675129652023315], [0.0, 0.0, 0.41647130250930786, 0.8766486644744873], [0.0, 0.0, 0.3912244737148285, 0.39373213052749634], [0.0, 0.7047430276870728, 0.9177981615066528, 1.0], [0.01641525886952877, 0.0, 1.0, 0.17497768998146057]]
630f5200-f86e-490f-8764-1ecf1d398f5b/0144	[2, 1, 1, 1, 1]	[0.999981164932251, 0.020855044946074486, 0.017771149054169655, 0.01474024448543787, 0.012090050615370274]	[[0.36195895075798035, 0.47550636529922485, 0.5371660590171814, 0.5292978882789612], [0.0, 0.5435153245925903, 0.3925080895423889, 1.0], [0.0, 0.0, 0.4039630591869354, 1.0], [0.0, 0.0, 0.8891178965568542, 0.24950703978538513], [0.0, 0.0, 0.5220686197280884, 0.2643510401248932]]
e01aefe6-f367-4c00-b006-f9327a1ffc5f/0012	[1, 1, 1, 1, 1]	[0.9999377727508545, 0.02253573201596737, 0.015716683119535446, 0.012052052654325962, 0.01095760427415371]	[[0.392845094203949, 0.3607981204986572, 0.45762237906455994, 0.41271352767944336], [0.0, 0.0, 0.44917941093444824, 1.0], [0.0, 0.7880549430847168, 0.7408487796783447, 1.0], [0.0, 0.0, 0.362111896276474, 0.4033523499965668], [0.0, 0.5326590538024902, 0.4288400709629059, 1.0]]
06084349-6a34-4e47-8fab-e7a7ca3cbdd8/0065	[1, 1, 1, 1, 1]	[0.9999946355819702, 0.06288190186023712, 0.011262229643762112, 0.009246829897165298, 0.00855129025876522]	[[0.394923597574234, 0.4817143380641937, 0.43393823504447937, 0.5111444592475891], [0.0, 0.0, 0.39349648356437683, 0.8017460703849792], [0.0, 0.0, 0.37555763125419617, 0.39710715413093567], [0.0, 0.018089771270751953, 0.4878653883934021, 0.5582572221755981], [0.0, 0.0, 0.5105820894241333, 0.25357747077941895]]
dd49d264-aecf-4d23-92c1-adf35a8ab29b/0029	[0, 2, 1, 1, 1]	[0.999910831451416, 0.03580861911177635, 0.00975447241216898, 0.009073149412870407, 0.005398597568273544]	[[0.0021252811420708895, 0.335885226726532, 0.7265538573265076, 0.8283622860908508], [0.0, 0.346738338470459, 0.7593817710876465, 0.8101403713226318], [0.0, 0.3394772708415985, 0.761380136013031, 0.8267325162887573], [0.0, 0.0, 0.36940670013427734, 0.4264450669288635], [0.01989220269024372, 0.0, 0.6898781061172485, 0.4166961908340454]]
65dea526-0728-4260-8075-fcf76c96fca9/0017	[1, 1, 1, 1, 1]	[0.9999854564666748, 0.08048567175865173, 0.03149789199233055, 0.011931421235203743, 0.008906540460884571]	[[0.39015939831733704, 0.5619868636131287, 0.4180988371372223, 0.5985570549964905], [0.0, 0.0, 0.3681159019470215, 0.8500785827636719], [0.0009439444984309375, 0.3938521146774292, 0.39992445707321167, 1.0], [0.02364272251725197, 0.8002404570579529, 1.0, 1.0], [0.023444384336471558, 0.0, 0.6036390066146851, 0.4376067519187927]]
686f98de-0c48-4746-80ba-3242c0f254e1/0056	[1, 1, 1, 1, 1]	[0.9999901056289673, 0.19468040764331818, 0.033601313829422, 0.01834024488925934, 0.017623333260416985]	[[0.31125715374946594, 0.44004517793655396, 0.4543534517288208, 0.6929865479469299], [0.006551021244376898, 0.0, 0.3876954913139343, 0.9634131193161011], [0.0007848113309592009, 0.0, 0.37049829959869385, 0.399882972240448], [0.0336541011929512, 0.3913058340549469, 0.41650086641311646, 1.0], [0.00034600592334754765, 0.0, 0.24609403312206268, 0.13722068071365356]]
f9609d68-b897-4889-b67b-74bcf31b14f3/0027	[1, 1, 1, 1, 1]	[0.9999878406524658, 0.10510288178920746, 0.03672424331307411, 0.033641740679740906, 0.020988445729017258]	[[0.4106600880622864, 0.6759762167930603, 0.4853873550891876, 0.7355503439903259], [0.0, 0.15572679042816162, 0.4200616180896759, 1.0], [0.007485696580260992, 0.6284160017967224, 0.560282289981842, 0.9796975255012512], [0.003926048520952463, 0.0, 0.410576194524765, 0.750748872756958], [0.0, 0.5271477103233337, 0.41159000992774963, 1.0]]
d1d539c2-8321-45d9-868a-fd8544e0ce01/0043	[2, 1, 1, 1, 1]	[0.9999904632568359, 0.31046485900878906, 0.011783475056290627, 0.006828883197158575, 0.004742192104458809]	[[0.0036396414507180452, 0.34131160378456116, 0.6140842437744141, 0.6346817016601562], [0.0, 0.44630318880081177, 0.3983851373195648, 0.9920613169670105], [0.032275889068841934, 0.0, 0.5498814582824707, 0.41000843048095703], [0.6206005811691284, 0.0, 1.0, 0.38576024770736694], [0.4845116138458252, 0.0, 1.0, 0.22917774319648743]]
400a07ae-a945-41de-8a94-b0bf655474e5/0002	[1, 1, 1, 1, 1]	[0.9999803304672241, 0.20917849242687225, 0.09381071478128433, 0.04860464856028557, 0.020334415137767792]	[[0.3012497127056122, 0.38493409752845764, 0.5408953428268433, 0.5314595699310303], [0.39813676476478577, 0.004507974721491337, 0.4551803767681122, 0.02881946787238121], [0.3979540169239044, 0.0024102069437503815, 0.459438681602478, 0.04117320477962494], [0.0, 0.0, 0.39659565687179565, 0.4042273163795471], [0.0, 0.5507992506027222, 0.382237046957016, 1.0]]
8e5bfc79-ce93-4752-89f8-ca76db553240/0036	[1, 1, 1, 1, 1]	[0.9999165534973145, 0.06600156426429749, 0.06106850504875183, 0.011762042529881, 0.0110777597874403]	[[0.4033068120479584, 0.8571971654891968, 0.5006239414215088, 0.9996843338012695], [0.0025623382534831762, 0.0, 0.3821209967136383, 0.8878698945045471], [0.0, 0.22464704513549805, 0.3847754895687103, 1.0], [0.0, 0.547766923904419, 0.4025431275367737, 1.0], [0.009560566395521164, 0.037330299615859985, 0.5198238492012024, 0.6243692636489868]]
8b2d3265-8b38-439d-86e9-92dccfee4cb5/0046	[1, 1, 1, 1, 1]	[0.9999842643737793, 0.049262478947639465, 0.03422561287879944, 0.015946317464113235, 0.014008153229951859]	[[0.3950445055961609, 0.4832548499107361, 0.48474955558776855, 0.5647900700569153], [0.0, 0.13265880942344666, 0.44007471203804016, 1.0], [0.0, 0.0, 0.4288596510887146, 0.5195507407188416], [0.0, 0.3547624945640564, 0.5420056581497192, 0.9047006964683533], [0.0, 0.5353008508682251, 0.3951270282268524, 1.0]]
400a07ae-a945-41de-8a94-b0bf655474e5/0132	[1, 1, 1, 1, 1]	[0.9999606609344482, 0.06768268346786499, 0.04378734901547432, 0.03141457587480545, 0.008614995516836643]	[[0.3280221223831177, 0.8747813701629639, 0.4303610622882843, 1.0], [0.0, 0.2687753736972809, 0.4116589426994324, 1.0], [0.00016588173457421362, 0.5397984981536865, 0.3937312960624695, 1.0], [0.0, 0.0, 0.41216686367988586, 0.5440272688865662], [0.6484185457229614, 0.0, 1.0, 0.36326828598976135]]
8e5bfc79-ce93-4752-89f8-ca76db553240/0046	[1, 1, 1, 1, 1]	[0.9999206066131592, 0.028638098388910294, 0.025359518826007843, 0.016850417479872704, 0.005364442244172096]	[[0.3935180604457855, 0.6169861555099487, 0.41990208625793457, 0.6602169275283813], [0.0, 0.0, 0.3996116518974304, 0.3963451385498047], [0.39886388182640076, 0.583743155002594, 0.4228641390800476, 0.6195659041404724], [0.0, 0.0, 0.717104971408844, 0.5646722912788391], [0.6136910915374756, 0.5959615707397461, 1.0, 1.0]]
047b864f-0753-448b-9483-f990ae41abaf/0102	[1, 1, 1, 1, 1]	[0.9999802112579346, 0.016253812238574028, 0.01585470139980316, 0.012826851569116116, 0.012112407945096493]	[[0.3734555244445801, 0.29095572233200073, 0.45267024636268616, 0.3601763844490051], [0.0, 0.0, 1.0, 0.18503940105438232], [0.0, 0.0, 0.43403950333595276, 0.5199968218803406], [0.0, 0.7455034255981445, 0.9213544130325317, 1.0], [0.0024905705358833075, 0.0, 0.5251972675323486, 0.2709806561470032]]
db3d52ee-4a97-41cc-b73d-b5d696f915ea/0006	[2, 1, 1, 1, 1]	[0.999956488609314, 0.028125237673521042, 0.020819300785660744, 0.020638402551412582, 0.011191166006028652]	[[0.376801460981369, 0.4699755012989044, 0.45058494806289673, 0.5171962976455688], [0.0, 0.008885562419891357, 0.3830467164516449, 1.0], [0.004169931635260582, 0.5751160979270935, 0.3711712062358856, 1.0], [0.0, 0.6680886745452881, 0.7301763892173767, 1.0], [0.001053046202287078, 0.39467498660087585, 0.520643413066864, 0.9904232025146484]]
28016933-19b0-4398-a4bb-8362267395ba/0030	[1, 1, 1, 1, 1]	[0.9999912977218628, 0.05456423759460449, 0.022615689784288406, 0.014155188575387001, 0.014118112623691559]	[[0.37251952290534973, 0.46066224575042725, 0.6643866896629333, 0.6867845058441162], [0.0, 0.0, 0.4392029047012329, 0.9403246641159058], [0.0, 0.0, 0.4238879084587097, 0.5072691440582275], [0.0, 0.0, 1.0, 0.20365625619888306], [0.0, 0.5155878067016602, 0.426052451133728, 1.0]]
