guid/image	labels	scores	boxes
eb46684b-f8c9-455e-80ff-1e168d7d2f7c/0050	[1, 1, 0, 1, 1]	[0.9999990463256836, 0.0006453807582147419, 6.0333219153108075e-05, 5.0646493036765605e-05, 4.26071128458716e-05]	[[0.3448468744754791, 0.8842073678970337, 0.39977192878723145, 0.9888638854026794], [0.44004344940185547, 0.0, 0.4870993494987488, 0.01585010439157486], [0.020785445347428322, 0.009354943409562111, 0.06660458445549011, 0.03736092895269394], [0.0, 0.04159930720925331, 1.0, 0.9522833228111267], [0.43279731273651123, 0.006573137827217579, 0.4737071394920349, 0.022641561925411224]]
af3ae5e6-27ef-4699-beb3-f2c72831a594/0175	[1, 2, 0, 0, 0]	[1.0, 1.7394795577274635e-06, 7.901932121967548e-07, 5.002273724130646e-07, 1.5001518249846413e-07]	[[0.3773140013217926, 0.3365648090839386, 0.5736079216003418, 0.48972663283348083], [0.0, 0.3725319504737854, 0.9506341218948364, 0.9721917510032654], [0.0250727329403162, 0.008290036581456661, 0.07010984420776367, 0.03936823084950447], [0.4005858600139618, 0.335067480802536, 0.5714383721351624, 0.4909232556819916], [0.37250417470932007, 0.3063330352306366, 0.6045083403587341, 0.5153585076332092]]
2a279bda-651c-4740-a616-6862aa904c24/0071	[1, 2, 2, 0, 0]	[0.9999997615814209, 1.824288847274147e-05, 3.011418812093325e-06, 1.8665671177586773e-06, 1.7728137891026563e-06]	[[0.39533600211143494, 0.42138218879699707, 0.4288816750049591, 0.44641244411468506], [0.0, 0.24924547970294952, 0.9789397120475769, 1.0], [0.4241385757923126, 0.006166530307382345, 0.5487322807312012, 0.024297112599015236], [0.42935681343078613, 0.004014500416815281, 0.5057490468025208, 0.02510051801800728], [0.4394180178642273, 0.005538369063287973, 0.5264180302619934, 0.023130284622311592]]
630f5200-f86e-490f-8764-1ecf1d398f5b/0144	[2, 1, 0, 2, 2]	[0.9999617338180542, 0.00015093633555807173, 0.0001409711840096861, 2.1693156668334268e-05, 1.8132635887013748e-05]	[[0.36139193177223206, 0.4762249290943146, 0.53548264503479, 0.528316080570221], [0.3781864047050476, 0.4754924178123474, 0.5399360656738281, 0.5302441716194153], [0.36704573035240173, 0.47640562057495117, 0.5024333596229553, 0.5296359062194824], [0.2091607302427292, 0.9573312997817993, 0.2889840602874756, 1.0], [0.39393067359924316, 0.35711511969566345, 0.4260861873626709, 0.3788799047470093]]
e01aefe6-f367-4c00-b006-f9327a1ffc5f/0012	[1, 0, 2, 2, 0]	[0.9999939203262329, 8.597557098255493e-06, 6.9762972998432815e-06, 5.371120096242521e-06, 4.077827270521084e-06]	[[0.3924082815647125, 0.3610602021217346, 0.4581431448459625, 0.41192859411239624], [0.4031052887439728, 0.4938575029373169, 0.43133968114852905, 0.5250662565231323], [0.38796159625053406, 0.36182722449302673, 0.4591602385044098, 0.4096183776855469], [0.0, 0.5602869987487793, 0.9246752858161926, 1.0], [0.39030134677886963, 0.3528363108634949, 0.46196550130844116, 0.4155023396015167]]
06084349-6a34-4e47-8fab-e7a7ca3cbdd8/0065	[1, 2, 0, 2, 1]	[0.9999997615814209, 8.045373760978691e-06, 5.6963694987643976e-06, 2.0806000975426286e-06, 4.446623051990173e-07]	[[0.39481818675994873, 0.48196306824684143, 0.4335481822490692, 0.51032555103302], [0.3912903666496277, 0.48183372616767883, 0.43383845686912537, 0.5089235901832581], [0.3918836712837219, 0.47833874821662903, 0.4322296977043152, 0.5166015028953552], [0.4354366064071655, 0.0027618142776191235, 0.5468121767044067, 0.020305246114730835], [0.4342649281024933, 0.003090903162956238, 0.557364284992218, 0.02420198544859886]]
dd49d264-aecf-4d23-92c1-adf35a8ab29b/0029	[0, 0, 2, 2, 0]	[0.999991774559021, 0.0014176967088133097, 0.0009494958212599158, 0.00038861160282976925, 0.00021360599203035235]	[[0.005079955793917179, 0.33559557795524597, 0.7425076365470886, 0.8378544449806213], [0.2621898055076599, 0.0032997026573866606, 0.3203096389770508, 0.021818367764353752], [0.03530493006110191, 0.31618306040763855, 0.7562979459762573, 0.8350410461425781], [0.26050058007240295, 0.001570698106661439, 0.3262481391429901, 0.02214362472295761], [0.252853661775589, 0.009354501031339169, 0.34020838141441345, 0.02691967599093914]]
65dea526-0728-4260-8075-fcf76c96fca9/0017	[1, 1, 0, 2, 0]	[0.9999997615814209, 0.00021805978030897677, 1.4501715668302495e-05, 1.2696194062300492e-05, 7.697533874306828e-06]	[[0.3903238773345947, 0.5628655552864075, 0.4181567430496216, 0.5991253852844238], [0.5864915251731873, 0.03815865144133568, 1.0, 0.9922778606414795], [0.18984834849834442, 0.4829535186290741, 0.2273690104484558, 0.5056376457214355], [0.3860514760017395, 0.563949465751648, 0.4194692075252533, 0.5950934290885925], [0.3854360580444336, 0.5626665353775024, 0.41532230377197266, 0.6004679799079895]]
686f98de-0c48-4746-80ba-3242c0f254e1/0056	[1, 0, 0, 2, 1]	[0.9999998807907104, 1.7235481209354475e-05, 4.808351150131784e-06, 2.1724031284975354e-06, 1.9223180061089806e-06]	[[0.30898088216781616, 0.44167378544807434, 0.45409318804740906, 0.6887052655220032], [0.008696828968822956, 0.9398214817047119, 0.045428141951560974, 0.9974291920661926], [0.27972137928009033, 0.4293942153453827, 0.479553759098053, 0.6949482560157776], [0.29863446950912476, 0.4499974548816681, 0.4559919834136963, 0.6774729490280151], [0.0, 0.0, 0.7612719535827637, 0.5537770986557007]]
f9609d68-b897-4889-b67b-74bcf31b14f3/0027	[1, 0, 1, 2, 0]	[0.9999995231628418, 0.0005971612990833819, 3.0425637305597775e-05, 2.5869243472698145e-05, 2.3590804630657658e-05]	[[0.41111111640930176, 0.6775164604187012, 0.4856516420841217, 0.7353708148002625], [0.05044379457831383, 0.009062698110938072, 0.11441420018672943, 0.03510317951440811], [0.0, 0.0, 0.9086123704910278, 0.8054647445678711], [0.0, 0.0, 0.9953038692474365, 0.9334135055541992], [0.07041329145431519, 0.005139836110174656, 0.1646999567747116, 0.029106464236974716]]
